iter, count, min, max, mean, geometricMean, median, kurtosis, variance, skewness, sd, cf10, cf20, cf30, cf40, cf50, cf60, cf70, cf80, cf90
0,3000,0.354278473122389,0.9947252045089507,0.9627124232404679,0.9573567185278915,0.9906491026206061,15.720011426605343,0.007601428911403815,-3.9157103060822998,0.08718617385459586,0,0,0,2,17,63,114,160,261,3000
1,3000,0.3403348455147146,1.0,0.964346767225264,0.9594027180807162,0.9905446100201272,17.619265142682522,0.007007191719236243,-4.105850771093941,0.08370897036301571,0,0,0,3,20,50,102,154,234,3000
2,3000,0.3452816314566169,1.0,0.9592434596237738,0.9536982880850965,0.9902732524506261,14.259884078337997,0.007909198271770843,-3.6928609149753084,0.08893367344133966,0,0,0,3,21,63,105,191,306,3000
3,3000,0.3877890068702528,1.0,0.9545454740257775,0.9486115333988665,0.9900120164174304,11.068015870234884,0.008617671751091597,-3.30360302838797,0.09283141575507506,0,0,0,2,21,61,125,218,348,3000
4,3000,0.30643702565285663,1.0,0.9568383845138109,0.9508443607243027,0.9900265870191701,12.94179339266971,0.008522640383896435,-3.554550862239269,0.09231814764116769,0,0,0,3,20,68,128,193,307,3000
5,3000,0.3260112046521433,1.0,0.9510576441721758,0.944648611261556,0.9896985038372812,10.072949448086641,0.009264444922784887,-3.1443055933432533,0.09625198659136801,0,0,0,5,17,65,143,243,378,3000
6,3000,0.3113332048884932,1.0,0.9509278682150383,0.944203282841692,0.989721165088304,10.56641824864231,0.009583062647823668,-3.2172638005259726,0.09789311849064605,0,0,0,5,23,74,143,235,366,3000
7,3000,0.29626869654290866,1.0,0.9571171190243396,0.9515011048418374,0.9899085063950881,13.677044739548652,0.008014871499829662,-3.5844275399392327,0.08952581471190119,0,0,1,5,18,56,116,191,315,3000
8,3000,0.32308371319988954,1.0,0.9494450864771236,0.9416877408335391,0.989461892651302,10.668215194403983,0.010756068192893497,-3.261437184323093,0.10371146606279123,0,0,0,9,36,87,164,241,360,3000
9,3000,0.3393146664999628,1.0,0.9563412161712295,0.9507880034397108,0.9897375450965298,12.809072696347338,0.008008403110990554,-3.4973746628413465,0.08948968158950256,0,0,0,3,14,56,117,202,324,3000
10,3000,0.296808886617037,1.0,0.9491993109482387,0.9416083692387399,0.9896593064262602,10.146134169850672,0.010636704850545886,-3.1922008136460773,0.10313440187709379,0,0,1,7,31,91,162,245,376,3000
